title,year,genres,cast,director,overview,rating,poster_url
RRR,2022,"Action, Historical, Drama, Adventure","N. T. Rama Rao Jr., Ram Charan, Alia Bhatt, Ajay Devgn",S. S. Rajamouli,"Set during British colonial rule in India, the story follows two revolutionaries whose lives become unexpectedly intertwined before they unite against oppression. One fights to rescue a young tribal girl taken away by the British while the other secretly works within the colonial system for a larger mission. Their friendship, emotional conflicts, sacrifices, and explosive rebellion create a grand narrative about freedom, loyalty, courage, and resistance. The film blends intense action, patriotic emotion, large-scale spectacle, and deeply personal struggles while exploring brotherhood and the price of revolution.",7.8,https://image.tmdb.org/t/p/w500/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg
Pushpa: The Rise,2021,"Action, Crime, Drama, Thriller","Allu Arjun, Rashmika Mandanna, Fahadh Faasil",Sukumar,"Pushpa Raj, a daily wage laborer from a poor background, enters the dangerous world of red sandalwood smuggling in the forests of South India. Through intelligence, aggression, and fearless ambition, he rises through the ranks of a brutal criminal network controlled by powerful smugglers and corrupt officials. As Pushpa gains influence, he faces betrayal, rivalry, class discrimination, and violent confrontations that challenge his survival and identity. The film explores ambition, masculinity, social hierarchy, greed, and power while presenting a gritty underworld filled with tension and raw emotion.",7.6,https://image.tmdb.org/t/p/w500/oaRk2HgOirEeNuDCwwScmq7rKvS.jpg
Kantara,2022,"Action, Thriller, Folklore, Drama","Rishab Shetty, Sapthami Gowda, Kishore",Rishab Shetty,"In a coastal village deeply connected to divine folklore and ancestral traditions, tensions rise between local communities, forest officers, and influential landowners. Shiva, a rebellious young villager, becomes entangled in a conflict involving sacred customs, spiritual rituals, and the struggle to protect the land tied to generations of belief. As mysterious events unfold, ancient traditions collide with modern authority, forcing Shiva to confront his identity and destiny. The film combines mythology, spirituality, environmental conflict, action, and emotional drama while exploring faith, fear, pride, and the relationship between humans and nature.",8.2,https://image.tmdb.org/t/p/w500/jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg
KGF: Chapter 2,2022,"Action, Crime, Drama","Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty",Prashanth Neel,"After taking control of the Kolar Gold Fields, Rocky becomes one of the most feared men in the criminal world. His growing influence attracts dangerous enemies including political leaders, rival gangs, and the ruthless Adheera, who seeks revenge and domination. While the people of KGF view Rocky as a savior, his hunger for power pushes him deeper into violence and conflict. The film explores ambition, dominance, loyalty, revenge, sacrifice, and the burden of leadership through large-scale action sequences and emotionally charged confrontations.",8.3,https://image.tmdb.org/t/p/w500/khNVygolU0TxLIDWff5tQlAhZ23.jpg
Jawan,2023,"Action, Thriller, Drama","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",Atlee,"A mysterious vigilante hijacks public systems and challenges corruption across the nation while carrying deep emotional scars from his past. As he targets powerful businessmen and political figures responsible for injustice, hidden truths emerge about sacrifice, family, and betrayal. The story unfolds through high-energy action, emotional drama, social commentary, and psychological conflict. The film examines themes of corruption, responsibility, patriotism, revenge, and redemption while balancing mass entertainment with emotional storytelling.",7.0,https://image.tmdb.org/t/p/w500/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg
Pathaan,2023,"Action, Spy, Thriller","Shah Rukh Khan, Deepika Padukone, John Abraham",Siddharth Anand,"A skilled Indian spy returns from exile to stop a deadly terrorist attack planned by a former agent driven by revenge against his own country. As global conspiracies, advanced weapons, and dangerous missions unfold, Pathaan teams up with allies to prevent catastrophic destruction. The film delivers fast-paced action, espionage, betrayal, emotional conflict, and international adventure while exploring themes of patriotism, sacrifice, trust, and resilience.",6.6,https://image.tmdb.org/t/p/w500/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg
Drishyam 2,2021,"Crime, Thriller, Mystery","Mohanlal, Meena, Ansiba Hassan",Jeethu Joseph,"Years after successfully protecting his family from a murder investigation, Georgekutty lives under constant fear and suspicion as old secrets begin resurfacing. When the police reopen the case with renewed determination, Georgekutty must once again rely on intelligence, preparation, and psychological strategy to safeguard his loved ones. The film builds tension through layered storytelling, emotional conflict, and carefully constructed suspense while exploring morality, guilt, family protection, and deception.",8.4,https://image.tmdb.org/t/p/w500/8RJBCUGE27LX06tAES4jTELN0KA.jpg
Minnal Murali,2021,"Superhero, Comedy, Drama","Tovino Thomas, Guru Somasundaram",Basil Joseph,"After being struck by lightning during a strange natural event, a small-town tailor discovers he has developed extraordinary powers. While struggling to understand his new abilities and responsibilities, he faces another man whose tragic life transforms him into a dangerous antagonist with similar powers. Set in a grounded rural environment, the film combines superhero action with emotional storytelling, humor, human vulnerability, and social realism while exploring loneliness, morality, and heroism.",8.0,https://image.tmdb.org/t/p/w500/efetKFDyptrRpoHBb103Tg3Auw5.jpg
Sita Ramam,2022,"Romance, Drama","Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna",Hanu Raghavapudi,"An orphaned army officer serving near the Kashmir border receives heartfelt letters from a mysterious woman named Sita, leading to a deep emotional connection that changes his life forever. Years later, another young woman becomes involved in uncovering the hidden truth behind their relationship and a forgotten letter that carries emotional significance. The film blends romance, war, sacrifice, longing, and emotional destiny while exploring love across time, trust, separation, and personal redemption.",8.5,https://image.tmdb.org/t/p/w500/t1O94ZBzsQXJihtVkrsStRLyUDR.jpg
Hi Nanna,2023,"Drama, Romance, Family","Nani, Mrunal Thakur, Kiara Khanna",Shouryuv,"A caring single father shares a beautiful bond with his young daughter while hiding painful truths from his past. When a woman unexpectedly enters their lives, emotional wounds, forgotten memories, and unresolved relationships slowly begin resurfacing. The story unfolds through emotional conversations, family warmth, romantic conflict, and personal healing. The film explores love, parenting, forgiveness, emotional trauma, and second chances through gentle storytelling and heartfelt performances.",8.2,https://image.tmdb.org/t/p/w500/hhMLtq9m1aK0dpY9Wcq26XeDH2z.jpg
